Index,Value
2.446399213372664690e+03,4.742765551136362774e+02
2.447400196656833941e+03,4.744598708933799571e+02
2.448401179941002738e+03,4.746464920911030845e+02
2.449402163225171989e+03,4.748354452079855719e+02
2.450403146509341241e+03,4.750257363995241349e+02
2.451404129793510492e+03,4.752163613854656319e+02
2.452405113077679289e+03,4.754063154639193272e+02
2.453406096361848540e+03,4.755946035293964087e+02
2.454407079646017792e+03,4.757802499944906458e+02
2.455408062930187043e+03,4.759623085158711433e+02
2.456409046214355840e+03,4.761398714272233974e+02
2.457410029498525091e+03,4.763120787847076940e+02
2.458411012782694343e+03,4.764781269343792474e+02
2.459411996066863139e+03,4.766372765158057518e+02
2.460412979351032391e+03,4.767888598217582512e+02
2.461413962635201642e+03,4.769322874403006267e+02
2.462414945919370439e+03,4.770670541127846604e+02
2.463415929203539690e+03,4.771927437491094679e+02
2.464416912487708942e+03,4.773090335500407377e+02
2.465417895771878193e+03,4.774156971953231050e+02
2.466418879056046990e+03,4.775126070656733646e+02
2.467419862340216241e+03,4.775997354764153329e+02
2.468420845624385493e+03,4.776771549104069550e+02
2.469421828908554744e+03,4.777450372479356702e+02
2.470422812192723541e+03,4.778036520012949495e+02
2.471423795476892792e+03,4.778533635717203651e+02
2.472424778761062043e+03,4.778946275561507946e+02
2.473425762045230840e+03,4.779279861407956673e+02
2.474426745329400092e+03,4.779540626276271951e+02
2.475427728613569343e+03,4.779735551485991891e+02
2.476428711897738594e+03,4.779872296305276222e+02
2.477429695181907391e+03,4.779959120810665922e+02
2.478430678466076643e+03,4.780004802730124993e+02
2.479431661750245894e+03,4.780018549101920939e+02
2.480432645034415145e+03,4.780009903633801969e+02
2.481433628318583942e+03,4.779988650689971337e+02
2.482434611602753193e+03,4.779964716867119705e+02
2.483435594886922445e+03,4.779948071144928008e+02
2.484436578171091242e+03,4.779948624610694310e+02
2.485437561455260493e+03,4.779976130762031516e+02
2.486438544739429744e+03,4.780040087385786478e+02
2.487439528023598996e+03,4.780149640995542200e+02
2.488440511307767792e+03,4.780313494784454065e+02
2.489441494591937044e+03,4.780539821014993436e+02
2.490442477876106295e+03,4.780836178722732370e+02
2.491443461160275547e+03,4.781209437558102877e+02
2.492444444444444343e+03,4.781665708528640835e+02
2.493445427728613595e+03,4.782210282335115608e+02
2.494446411012782846e+03,4.782847575918916618e+02
2.495447394296951643e+03,4.783581087755900398e+02
2.496448377581120894e+03,4.784413362344303664e+02
2.497449360865290146e+03,4.785345964242283685e+02
2.498450344149458942e+03,4.786379461915062166e+02
2.499451327433628194e+03,4.787513421553453554e+02
2.500452310717797445e+03,4.788746410925660939e+02
2.501453294001966697e+03,4.790076013223875862e+02
2.502454277286135493e+03,4.791498850767089834e+02
2.503455260570304745e+03,4.793010618322869050e+02
2.504456243854473996e+03,4.794606125714539644e+02
2.505457227138643248e+03,4.796279349287303262e+02
2.506458210422812044e+03,4.798023491718068954e+02
2.507459193706981296e+03,4.799831049570275923e+02
2.508460176991150547e+03,4.801693887917457459e+02
2.509461160275319344e+03,4.803603321288507573e+02
2.510462143559488595e+03,4.805550200124325784e+02
2.511463126843657847e+03,4.807525001880360378e+02
2.512464110127827098e+03,4.809517925863036680e+02
2.513465093411995895e+03,4.811518990850668160e+02
2.514466076696165146e+03,4.813518134521619913e+02
2.515467059980334398e+03,4.815505313694333722e+02
2.516468043264503649e+03,4.817470604375758398e+02
2.517469026548672446e+03,4.819404300616584464e+02
2.518470009832841697e+03,4.821297011183714858e+02
2.519470993117010948e+03,4.823139753082144239e+02
2.520471976401179745e+03,4.824924040990065919e+02
2.521472959685348997e+03,4.826641971711864016e+02
2.522473942969518248e+03,4.828286302803578565e+02
2.523474926253687499e+03,4.829850524583721381e+02
2.524475909537856296e+03,4.831328924808601641e+02
2.525476892822025548e+03,4.832716645364705528e+02
2.526477876106194799e+03,4.834009730410611496e+02
2.527478859390364050e+03,4.835205165486536316e+02
2.528479842674532847e+03,4.836300907200034658e+02
2.529480825958702098e+03,4.837295903190678814e+02
2.530481809242871350e+03,4.838190102173917353e+02
2.531482792527040147e+03,4.838984453963605006e+02
2.532483775811209398e+03,4.839680899473039517e+02
2.533484759095378649e+03,4.840282350794612967e+02
2.534485742379547446e+03,4.840792661557622409e+02
2.535486725663716697e+03,4.841216587860986920e+02
2.536487708947885949e+03,4.841559740172071997e+02
2.537488692232055200e+03,4.841828526673198780e+02
2.538489675516223997e+03,4.842030088623091046e+02
2.539490658800393248e+03,4.842172228380399588e+02
2.540491642084562500e+03,4.842263330809944364e+02
2.541492625368731751e+03,4.842312278858551622e+02
2.542493608652900548e+03,4.842328364145716932e+02
2.543494591937069799e+03,4.842321193464264866e+02
2.544495575221239051e+03,4.842300592127093068e+02
2.545496558505407847e+03,4.842276505127669566e+02
